,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0.1,0.46480707455543047,0.11562928349982987,0.2001863930581986,0.12630170575905314,0.1085188726863074,0.09389933948540713,0.08031670677920891,0.07852909596046989,0.07591968804581443,0.07572181954143667
0.2,0.07379934842697512,0.4071434746523552,0.3176637530651097,0.2225439156828943,0.17668107008130554,0.1442618329769082,0.13338524504829743,0.12636345364744797,0.12669290262284996,0.12720037063733747
0.3,0.07795264509357402,0.2619825443399932,0.4775340757422281,0.4410417111361878,0.37502942274856355,0.34551426070267427,0.3088504265091828,0.2936412402633982,0.2868970168454384,0.28377373335105305
0.4,0.08397255823458964,0.1791029300872327,0.44071357728412774,0.5582838248808916,0.5579701008159275,0.5369884386268562,0.5011744513759154,0.48454187384839703,0.47552808997904195,0.46905948100155453
0.5,0.08813393117434756,0.13900953783139763,0.3826576466668877,0.5621109359070484,0.6259863439497502,0.6335521475412645,0.6244262477849151,0.6146449928869622,0.6081172377759417,0.6014362230463804
0.6,0.0741684389068856,0.13320215714077177,0.3458001047496484,0.5358561816875163,0.6333202464977479,0.6564507922224249,0.6787424570123679,0.6815724784664129,0.6809057646499563,0.6760878479729168
0.7,0.06660630587040615,0.12416765236769857,0.3190560298158495,0.508933783532333,0.6173392837978936,0.6514353072123266,0.6878670316105375,0.6969294228960121,0.6995649006454965,0.6963955588757028
0.8,0.06414618875821715,0.1233740334946119,0.31315674217632905,0.49934143681663495,0.6138463155731977,0.6543507265383919,0.6962029645586492,0.7046054509099103,0.7088861968858327,0.7079845988563187
0.9,0.061489656681965474,0.11867142602530963,0.3027156848323646,0.49235077699375673,0.6074414770583092,0.6516445680225263,0.6977985362468282,0.7085224784078562,0.7152682252883054,0.7156301219351653
1.0,0.06122947909771275,0.11641773584602798,0.29468145695067766,0.48459634492672854,0.6002451925770373,0.6473344428434771,0.6982431784221913,0.7105561413581678,0.7194061692384645,0.7215907958126272
