layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Linear1,0.433,0.441,0.4412,0.4426,0.4428,0.4428,0.4413,0.4407,0.4409,0.4413
Linear2,0.5139,0.515,0.5108,0.5112,0.5116,0.5097,0.5089,0.5098,0.5099,0.5096
