layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Linear1,0.4483,0.4467,0.4458,0.4446,0.4436,0.4432,0.4418,0.4417,0.4419,0.4413
Linear2,0.5111,0.5122,0.5106,0.5101,0.5098,0.51,0.5099,0.5104,0.5105,0.5096
