sparsity_0.1,sparsity_0.3,sparsity_0.5,sparsity_0.7,sparsity_0.9,sparsity_1
0.001,0.001,0.0015,0.07466,0.552,0.71582
0.005,0.005,0.0052,0.1912,0.78622,0.90394
