sparsity_0.1,sparsity_0.3,sparsity_0.5,sparsity_0.7,sparsity_0.9,sparsity_1
0.00134,0.37244,0.6621,0.70032,0.70636,0.71582
0.00508,0.61128,0.8697,0.89356,0.89852,0.90394
