sparsity_0.1,sparsity_0.3,sparsity_0.5,sparsity_0.7,sparsity_0.9,sparsity_1
0.00144,0.38246,0.66886,0.70564,0.7114,0.71582
0.0082,0.62444,0.87376,0.8973,0.90016,0.90394
