sparsity_0.1,sparsity_0.3,sparsity_0.5,sparsity_0.7,sparsity_0.9,sparsity_1
0.00612,0.26586,0.53076,0.58048,0.626,0.73378
0.02312,0.51368,0.78338,0.82284,0.84976,0.91504
