sparsity_0.1,sparsity_0.3,sparsity_0.5,sparsity_0.7,sparsity_0.9,sparsity_1
0.001,0.00116,0.00318,0.07002,0.5715,0.71582
0.005,0.005,0.00722,0.18074,0.8016,0.90394
