sparsity_0.1,sparsity_0.3,sparsity_0.5,sparsity_0.7,sparsity_0.9,sparsity_1
0.0131,0.31362,0.57578,0.6647,0.70334,0.71582
0.04644,0.55904,0.80822,0.8747,0.89724,0.90394
